KEY,English,Russian,TAG
achievementCatLevel,Coach,Тренер,Achievements
achievementCatLevelBonus,Supercats come into the game box {0}% faster,Cуперкотики появляются в игре на {0}% быстрее,Achievements
achievementCatLevelGet,Upgrade your supercat to level {0},"Улучши суперкотика
до {0} уровня",Achievements
achievementCombo,Virtuoso,Виртуоз,Achievements
achievementComboBonus,Cats joined to the chain can be placed {0}% further ,Коты в цепочке могут находиться на {0}% дальше,Achievements
achievementComboGet,Build a chain of {0} or more cats,Объедини в цепочку {0} или больше котиков,Achievements
achievementGetGameSessions,Hard worker,Трудяга,Achievements
achievementGetGameSessionsBonus,Disco mode runs {0}% faster,"Диско запускается
на {0}% быстрее",Achievements
achievementGetGameSessionsGet,Play {0} times,Сыграй {0} раз,Achievements
achievementGetSuperCats,Collector,Коллекционер,Achievements
achievementGetSuperCatsBonus,Supercat's fish price is {0}% less,Cуперкотикам нужно на {0}% меньше рыбок для игры,Achievements
achievementGetSuperCatsGet,Complete collection of {0} supercats,"Собери коллекцию
из {0} суперкотиков",Achievements
achievementGoldfishes,Moneybag,Толстосум,Achievements
achievementGoldfishesBonus,League levelup gives {0} extra seconds,Награда за повышение лиги больше на {0} [секунд|секунду|секунды],Achievements
achievementGoldfishesGet,Save up {0} goldfish,"Накопи {0}
золотых рыбок",Achievements
achievementInviteFriends,True friend,Настоящий друг,Achievements
achievementInviteFriendsBonus,Goldfish frequency is {0}% higher,"Золотые рыбки выпадают
на {0}% чаще",Achievements
achievementInviteFriendsGet,Invite {0} friends to join the game,Пригласи {0} [друзей|друга|друзей] в игру,Achievements
achievementLeague,Hero,Герой,Achievements
achievementLeagueBonus,Disco mode is {0} seconds longer,"Диско длится на
{0} [секунд|секунду|секунды] дольше",Achievements
achievementLeagueGet,Enter Legendary league,Войди в Легендарную лигу,Achievements
achievementLevel,Guru,Гуру,Achievements
achievementLevelBonus,Multipliers frequency is {0}% higher,"Множители выпадают
на {0}% чаще",Achievements
achievementLevelGet,Achieve level {0},Достигни {0} уровня,Achievements
achievementTournamentWonFriends,Winner,Победитель,Achievements
achievementTournamentWonFriendsBonus,Supercats get {0}% more experience,"Суперкотики получают
на {0}% больше опыта",Achievements
achievementTournamentWonFriendsGet,Beat {0} friends in a Tournament,Победи {0} [друзей|друга|друзей] в Турнире,Achievements
achievementUseSausages,Gourmet,Гурман,Achievements
achievementUseSausagesBonus,Free sausage becomes available {0} hours earlier,"Cарделька появляется
на {0} [часов|час|часа] раньше",Achievements
achievementUseSausagesGet,Use {0} sausages,Используй {0} сарделек,Achievements
howToGet,HOW TO GET,КАК ПОЛУЧИТЬ,Achievements
newMedal,NEW MEDAL,НОВАЯ МЕДАЛЬ,Achievements
boosterbox,BOOSTER BOX,КОРОБКА БОНУСОВ,Boosts
boostsDescription,Use boosters to improve your game results!,"Возьми в игру бонусы, чтобы улучшить свои результаты!",Boosts
choiseBoosts,CHOOSE BOOSTERS,ВЫБЕРИ БОНУСЫ,Boosts
left,LEFT: {0},ОСТАЛОСЬ: {0},Boosts
remove,LEAVE,УБРАТЬ,Boosts
take,TAKE,ВЗЯТЬ,Boosts
tutorialBoostExperience,This booster increases supercats' experience two times,"Этот бонус увеличивает в 2 раза опыт, получаемый суперкотиками",Boosts
tutorialBoostFirework,This booster gives you a Colorful petard in the beginning of the game,Этот бонус дает Цветную петарду с самого начала игры,Boosts
tutorialBoostMultiplier,This booster gives you a cat with x2 multiplier in the beginning of the game,Этот бонус дает котика с множителем с самого начала игры,Boosts
tutorialBoostTime,This booster adds 10 seconds to your timer,Этот бонус прибавляет 10 секунд к таймеру,Boosts
unlockBoostExperience,Double experience booster unlocked,Открыт бонус Двойной опыт,Boosts
unlockBoostFirework,Petard booster unlocked,Открыт бонус Петарда,Boosts
unlockBoostMultiplier,Multiplier booster unlocked,Открыт бонус Множитель,Boosts
unlockBoostTime,Time booster unlocked,Открыт бонус Время,Boosts
Cat,Cat,котик,Cats
nameCatBoom,Boom,Бум,Cats
nameCatCap,Cap,Кэп,Cats
nameCatDisco,Disco,Диско,Cats
nameCatFlint,Flint,Флинт,Cats
nameCatJack,Jack,Джек,Cats
nameCatJoker,Joker,Джокер,Cats
nameCatKing,King,Царь,Cats
nameCatLady,Lady,Леди,Cats
nameCatLoki,Loki,Локи,Cats
nameCatMage,Mage,Маг,Cats
nameCatMix,Mix,Микс,Cats
nameCatOrion,Orion,Орион,Cats
nameCatRaiden,Raiden,Рейден,Cats
nameCatSanta,Santa,Мороз,Cats
nameCatSnow,Snow,Снежок,Cats
nameCatZen,Zen,Дзен,Cats
powerCatBoom,Releases cats within {0} radius around himself,Разгоняет котиков в радиусе {0} вокруг себя,Cats
powerCatCap,Sweeps cats away on his way. Cat's size is {0},Сметает котиков на своем пути. Размер котика {0},Cats
powerCatDisco,Starts Disco mode for {0} seconds immediately,Запускает Диско режим на {0} [секунд|секунду|секунды],Cats
powerCatFlint,Collects {0} goldfish,Собирает {0} [золотых рыбок|золотую рыбку|золотые рыбки],Cats
powerCatJack,Turns each touched cat into a pumpkin with {0} bonus points,При соприкосновении с котом превращает его в тыкву с бонусом {0} очков,Cats
powerCatJoker,Can join any chain and gives {0} bonus points,Может стать частью любой цепочки и дает бонус {0} очков,Cats
powerCatKing,Gives {0} goldfish to cats in the box,Раздает котикам {0} [золотых рыбок|золотую рыбку|золотые рыбки],Cats
powerCatLady,Draws {0} cats of chosen color to her,Притягивает {0} [котиков|котика|котиков] выбранного цвета,Cats
powerCatLoki,Casts petards within the box,Разбрасывает пeтарды по коробке,Cats
powerCatMage,Turns {0} cats into cats of hat's color,Меняет цвет {0} соседних [котиков|котика|котиков] на текущий цвет шляпы,Cats
powerCatMix,Mixes cats in the box,Перемешивает коробку,Cats
powerCatOrion,Generates black hole for {0} seconds,Создает черную дыру на {0} сек.,Cats
powerCatRaiden,Releases cats around himself. Clones himself {0} times,Разгоняет котиков вокруг себя. Клонирует себя {0} [раз|раз|раза],Cats
powerCatSanta,Applies ability of another random supercat,Использует способность другого случайного суперкотика,Cats
powerCatSnow,Freezes the timer for {0} seconds,Замораживает таймер на {0} [секунд|секунду|секунды],Cats
powerCatZen,Gives additional {0} seconds,Добавляет {0} [секунд|секунду|секунды],Cats
championshipError,"Sorry, the Championship is
temporarily unavailable","Извини, но Чемпионат
временно недоступен",Championship
league,LEAGUE,ЛИГА,Championship
leagueAim,Score {0} points for promotion,Для повышения набери {0},Championship
leagueBoiling,BOILING,БУРЛЯЩАЯ,Championship
leagueDiamond,DIAMOND,АЛМАЗНАЯ,Championship
leagueEmerald,EMERALD,ИЗУМРУДНАЯ,Championship
leagueFlame,FLAME,ОГНЕННАЯ,Championship
leagueGold,GOLD,ЗОЛОТАЯ,Championship
leagueGreen,GREEN,ЗЕЛЕНАЯ,Championship
leagueLegendary,LEGENDARY,ЛЕГЕНДАРНАЯ,Championship
leagueLegendaryDescription,Best of the best!,Лучшие из лучших!,Championship
leagueRuby,RUBY,РУБИНОВАЯ,Championship
leagueSapphire,SAPPHIRE,САПФИРОВАЯ,Championship
leagueWhite,WHITE,БЕЛАЯ,Championship
player,Player,Игрок,Championship
reward,REWARD,НАГРАДА,Championship
timerReward,"{0} sec
to timer","{0} сек
к таймеру",Championship
maximum,maximum,максимальный,Collection
digitalStarOffer84650,Half price Magic Box,Волшебная коробка за полцены,Digital Star
bonus,BONUS,БОНУС,Facebook
challengeFriendMessage,Try to beat my score of {0} points,Попробуй-ка побить мой рекорд {0},Facebook
challengeFriendTitle,You have challenged a friend!,Вызов брошен!,Facebook
gameName,READY SET CAT,КОТИКИ,Facebook
inviteFriendMessage,This game is awesome! Give it a try and play with me!,"Отличная игра! Присоединяйся, будем играть вместе!",Facebook
inviteFriends,INVITE FRIENDS,ПОЗВАТЬ ДРУЗЕЙ,Facebook
inviteFriendTitle,Invite to READY SET CAT,Приглашение в игру КОТИКИ,Facebook
newCatDescription,Now I have {0} of {1} supercats! My collection will be complete soon!,Теперь у меня {0} из {1} суперкотиков и уже скоро я соберу всю коллекцию!,Facebook
newCatDescriptionFull,I have a full collection of supercats!,Я собрал всю коллекцию супер котиков!,Facebook
newCatTitle,{0} has been caught!,{0} пойман!,Facebook
shareBeatMeFemale,I set a new high score - {0} points - try to beat me! This game is awesome!,Я установила новый рекорд! {0} очков - попробуй обойти! Игра отличная!,Facebook
shareBeatMeMale,I set a new high score - {0} points - try to beat me! This game is awesome!,Я установил новый рекорд! {0} очков - попробуй обойти! Игра отличная!,Facebook
shareBeatMeUnknown,I set a new high score - {0} points - try to beat me! This game is awesome!,Установлен новый рекорд! {0} очков - попробуй обойти! Игра отличная!,Facebook
shareLeagueUp,LEAGUE PROMOTION,ПОВЫШЕНИЕ В ЛИГЕ,Facebook
shareLeagueUpDescription,{0} achieved! Try to climb even higher!,"{0} достигнута! Попробуй-ка, поднимись так высоко!",Facebook
shareTournament,BRILLIANT VICTORY,ЯРКАЯ ПОБЕДА,Facebook
shareTournamentDescriptionFemale,I have beaten {0} friends in today's tournament! Join us!,Я обошла {0} [друзей|друга|друзей] в сегодняшнем турнире! Присоединяйтесь!,Facebook
shareTournamentDescriptionMale,I have beaten {0} friends in today's tournament! Join us!,Я обошел {0} [друзей|друга|друзей] в сегодняшнем турнире! Присоединяйтесь!,Facebook
